# tag pevalue tag_id
EFGSY 24.840000 3093
EFGXY 16.950000 3094
EFLVF 129.000000 3099
EFSC 15.440000 3102
EFSI 9.865000 3104
EFX 48.460000 3105
EGAN 45.640000 3106
EGBN 12.030000 3107
EGIEY 11.570000 3110
EGO 17.730000 3116
EGP 55.470000 3117
EGRX 37.730000 3119
EGY 11.040000 3120
EHC 28.130000 3122
EHTH 43.790000 3124
EIG 7.022000 3125
EIX 25.870000 3129
EJH 161.240000 3132
EKTAY 36.440000 3137
EL.PA 81.740000 3138
EL 81.740000 3139
ELA 16.460000 3140
ELEZY 25.040000 3145
ELF 234.270000 3146
ELMD 26.650000 3156
ELP 21.240000 3158
ELP 21.240000 3159
ELS 60.560000 3160
ELTK 11.980000 3163
ELTP 10.100000 3164
ELUXY 12.580000 3165
ELVT 3.802000 3166
ELY 71.000000 3167
EMCF 10.350000 3175
EME.L 48.880000 3178
EME 48.880000 3179
EMKR 51.050000 3190
EML.L 23.970000 3191
EML 23.970000 3192
EMN 34.830000 3199
EMR.L 27.030000 3201
EMR 27.030000 3202
EMYB 10.460000 3212
ENB 16.190000 3214
ENBP 8.175000 3215
ENDP 14.680000 3217
ENGGY 12.600000 3225
ENIA 12.910000 3229
ENLAY 32.560000 3231
ENPH 230.730000 3238
ENR 170.520000 3241
ENR.DE 170.520000 3242
ENS 28.390000 3244
ENSG 26.160000 3245
ENTG 49.120000 3249
ENV 211.680000 3251
ENVA 2.876000 3252
EOG 803.400000 3262
EONGY 13.260000 3264
EPAC 391.430000 3266
EPAC 391.430000 3267
EPAM 79.730000 3268
EPC 43.220000 3270
EPD 13.810000 3271
EPOKY 45.790000 3276
EPSN 31.380000 3278
EQC 392.000000 3284
EQFN 9.956000 3286
EQIX 161.210000 3290
EQR 43.760000 3301
EQX 38.790000 3306
ERIC 21.120000 3310
ERIE 34.150000 3311
ERII 32.780000 3312
ES 22.490000 3323
ESALY 22.220000 3324
ESCA 11.810000 3327
ESE 91.000000 3328
ESEA 19.410000 3329
ESGR 3.231000 3334
ESI 38.340000 3337
ESLOY 560.910000 3339
ESLT 23.770000 3340
ESNT 13.400000 3342
ESNT.L 13.400000 3343
ESOA 14.860000 3345
ESQ 13.310000 3352
ESS 45.570000 3354
ESSA 9.969000 3355
ESXB 9.609000 3361
ET 7.984000 3364
ETCMY 8.666000 3366
ETH 24.710000 3370
ETN 40.800000 3372
ETR 13.210000 3375
ETRN 9.694000 3376
ETSY 46.670000 3377
EURN 11.330000 3395
EURN 11.330000 3396
EVBN 12.910000 3405
EVC 10.610000 3406
EVI 300.700000 3415
EVK.DE 7.031000 3416
EVK 7.031000 3417
EVNVY 16.630000 3420
EVR 13.720000 3426
EVR.L 13.720000 3427
EVRG 19.070000 3429
EVSBY 35.340000 3431
EVTC 27.040000 3433
EVTCY 135.600000 3434
EVVTY 88.500000 3435
EW 71.040000 3436
EWBC 16.960000 3437
EXC 40.650000 3442
EXEL 110.010000 3443
EXLS 35.530000 3445
EXP 18.070000 3446
EXPD 24.940000 3447
EXPGY 43.870000 3450
EXPI 137.280000 3451
EXPO 55.630000 3453
EXR 34.050000 3455
EYE 64.510000 3471
EYE.L 64.510000 3472
EZGO 309.420000 3478
F 14.680000 3481
FACO 5.054000 3488
FAF 8.320000 3490
FALC 102.650000 3495
FANH 19.230000 3502
FANUY 67.830000 3504
FARO 112.910000 3508
FAST 35.130000 3511
FAST.AS 35.130000 3512
FB 28.120000 3515
FBAK 12.980000 3520
FBC 3.969000 3521
FBHS 23.340000 3522
FBIZ 10.110000 3524
FBK 16.030000 3525
FBMS 13.700000 3526
FBNC 13.920000 3527
FBP 17.520000 3528
FBPA 10.430000 3529
FBTT 12.950000 3536
FCAP 13.600000 3541
