# tag, name, tag_id
ARE, Alexandria Real Estate Equities Inc, 907
ARE.L, Alexandria Real Estate Equities Inc, 908
AREC, American Resources Corp, 909
ARES, Ares Management Corp, 910
ARGO, Argo Group International Holdings Ltd, 912
ARGX, argenx SE, 913
ARGX, argenx SE, 914
ARHN, Archon Corp, 915
ARI, Apollo Commercial Real Estate Finance Inc, 916
ARKAY, Arkema SA, 918
ARKO, ARKO Corp, 919
ARKR, Ark Restaurants Corp, 920
ARL, American Realty Investors Inc, 921
ARL.DE, American Realty Investors Inc, 922
ARLO, Arlo Technologies Inc, 923
ARLP, Alliance Resource Partners LP, 924
ARMK, Aramark, 925
ARMP, Armata Pharmaceuticals Inc, 926
ARNA, Arena Pharmaceuticals Inc, 927
ARNC, Arconic Corp, 928
AROC, Archrock Inc, 930
AROW, Arrow Financial Corp, 932
ARPO, Aerpio Pharmaceuticals Inc, 933
ARQT, Arcutis Biotherapeutics Inc, 934
ARR.L, ARMOUR Residential REIT Inc, 935
ARR, ARMOUR Residential REIT Inc, 936
ARRW, Arrowroot Acquisition Corp, 937
ARRY, Array Technologies Inc, 938
ARTL, Artelo Biosciences Inc, 940
ARTNA, Artesian Resources Corp, 941
ARTNB, Artesian Resources Corp, 942
ARTW, Art's-Way Manufacturing Co Inc, 943
ARVL, Arrival, 944
ARVN, Arvinas Inc, 945
ARW.L, Arrow Electronics Inc, 946
ARW, Arrow Electronics Inc, 947
ARWR, Arrowhead Pharmaceuticals Inc, 948
ARXRF, Infinite Ore Corp, 949
ARYA, ARYA Sciences Acquisition Corp III, 950
ARYD, ARYA Sciences Acquisition Corp IV, 951
ARZGY, Assicurazioni Generali, 952
ASAI.L, Sendas Distribuidora SA, 953
ASAN, Asana Inc, 954
ASAQ, Atlantic Avenue Acquisition Corp, 955
ASAX, Astrea Acquisition Corp, 956
ASAZY, Assa Abloy AB, 957
ASB, Associated Banc-Corp, 958
ASBFY, Associated British Foods PLC, 959
ASC, Ardmore Shipping Corp, 960
ASC.L, Ardmore Shipping Corp, 961
ASCCY, ASICS Corp, 962
ASEKY, Aisin Corp, 966
ASGLY, AGC Inc, 968
ASGN, ASGN Inc, 969
ASH, Ashland Global Holdings Inc, 970
ASHTY, Ashtead Group PLC, 972
ASIX, AdvanSix Inc, 975
ASLE, AerSale Corp, 978
ASLN, ASLAN Pharmaceuticals Ltd, 980
ASM.AS, Avino Silver & Gold Mines Ltd, 981
ASMB, Assembly Biosciences Inc, 982
ASML, ASML Holding NV, 983
ASML.AS, ASML Holding NV, 984
ASMVY, ASM Pacific Technology Ltd, 985
ASND, Ascendis Pharma A/S, 986
ASO, Academy Sports and Outdoors Inc, 987
ASOMY, ASOS PLC, 988
ASOZY, Asseco Poland SA, 989
ASPC, Alpha Capital Acquisition Co, 990
ASPL, Aspirational Consumer Lifestyle Corp, 992
ASPL.L, Aspirational Consumer Lifestyle Corp, 993
ASPN, Aspen Aerogels Inc, 994
ASPS, Altisource Portfolio Solutions SA, 995
ASPU, Aspen Group Inc, 996
ASR, Grupo Aeroportuario del Sureste SAB de CV, 997
ASRT, Assertio Holdings Inc, 999
ASRV, AmeriServ Financial Inc, 1000
ASTC, Astrotech Corp, 1002
ASTE, Astec Industries Inc, 1003
ASTO.L, Astro Communications Inc, 1004
ASTS, AST SpaceMobile Inc, 1005
ASUR, Asure Software Inc, 1006
ASX, ASE Technology Holding Co Ltd, 1007
ASXC, Asensus Surgical Inc, 1008
ASXFY, ASX Ltd, 1009
ASYS, Amtech Systems Inc, 1011
ASZ, Austerlitz Acquisition Corp II, 1012
ATA.PA, Americas Technology Acquisition Corp, 1015
ATAQ, Altimar Acquisition Corp III, 1017
ATASY, Atlantia SpA, 1018
ATC, Atotech Ltd, 1019
ATCN, Atec Inc, 1020
ATCO, Atlas Corp, 1021
ATCX, Atlas Technical Consultants Inc, 1022
ATDRY, Auto Trader Group PLC, 1023
ATEC, Alphatec Holdings Inc, 1026
ATEN, A10 Networks Inc, 1027
ATER, Aterian Inc, 1028
ATEX, Anterix Inc, 1029
ATEYY, Advantest Corp, 1030
ATGE, Adtalem Global Education Inc, 1032
ATGN, AltiGen Communications Inc, 1033
ATH, Athene Holding Ltd, 1034
ATHA, Athira Pharma Inc, 1035
ATHE, Alterity Therapeutics Ltd, 1036
ATHM, Autohome Inc, 1037
ATHN, Athena Technology Acquisition Corp, 1038
ATHX, Athersys Inc, 1039
ATI, Allegheny Technologies Inc, 1040
ATIF, ATIF Holdings Ltd, 1041
ATKR, Atkore Inc, 1042
ATLC, Atlanticus Holdings Corp, 1043
ATLCY, Atlas Copco AB, 1044
ATLKY, Atlas Copco AB, 1045
ATLO, Ames National Corp, 1046
ATMR, Altimar Acquisition Corp II, 1049
ATNF, 180 Life Sciences Corp, 1050
ATNI, ATN International Inc, 1051
ATNM, Actinium Pharmaceuticals Inc, 1052
ATNX, Athenex Inc, 1053
ATO, Atmos Energy Corp, 1054
ATO.PA, Atmos Energy Corp, 1055
ATOM, Atomera Inc, 1056
ATOS, Atossa Therapeutics Inc, 1057
ATR, AptarGroup Inc, 1059
ATR.L, AptarGroup Inc, 1060
ATRA, Atara Biotherapeutics Inc, 1061
ATRC, AtriCure Inc, 1062
ATRI, Atrion Corp, 1063
ATRO, Astronics Corp, 1064
ATROB, Astronics Corp, 1065
ATRS, Antares Pharma Inc, 1066
ATSG, Air Transport Services Group Inc, 1069
ATTO, Atento S.A, 1073
ATUS, Altice USA Inc, 1074
ATUSF, Altius Minerals Corp, 1075
ATVI, Activision Blizzard Inc, 1076
ATVK, Ameritek Ventures, 1077
ATXI, Avenue Therapeutics Inc, 1078
ATYM.L, Asia Time Corp, 1080
AU, Anglogold Ashanti Ltd, 1081
AUB, Atlantic Union Bankshares Corp, 1082
AUBN, Auburn National Bancorp Inc, 1083
AUCOY, Polymetal International PLC, 1085
AUD, Audacy Inc, 1086
AUDC, AudioCodes Ltd, 1087
AUMN, Golden Minerals Co, 1092
AUOTY, AU Optronics Corp, 1093
AUPH, Aurinia Pharmaceuticals Inc, 1094
AURC, Aurora Acquisition Corp, 1095
AUS, Austerlitz Acquisition Corp I, 1096
AUTL, Autolus Therapeutics PLC, 1098
AUTO.L, AutoWeb Inc, 1100
AUTO, AutoWeb Inc, 1101
AUUD, Auddia Inc, 1102
AUVI, Applied UV Inc, 1103
AUY, Yamana Gold Inc, 1104
AVA, Avista Corp, 1108
AVAH, Aveanna Healthcare Holdings Inc, 1109
AVAL, Grupo Aval Acciones y Valores SA, 1110
AVAN, Avanti Acquisition Corp, 1111
AVAV, AeroVironment Inc, 1113
AVB, AvalonBay Communities Inc, 1114
AVBH, Avidbank Holdings Inc, 1115
AVCO, Avalon Globocare Corp, 1116
AVCT, American Virtual Cloud Technologies Inc, 1117
AVD, American Vanguard Corp, 1118
AVDL, Avadel Pharmaceuticals PLC, 1119
AVEO, AVEO Pharmaceuticals Inc, 1120
AVGO, Broadcom Inc, 1122
AVGR, Avinger Inc, 1123
AVGR, Avinger Inc, 1124
AVHNY, Ackermans & Van Haaren NV, 1125
AVHOQ, Avianca Holdings SA, 1126
AVID, Avid Technology Inc, 1127
AVIFY, Advanced Info Service PCL, 1128
AVIR, Atea Pharmaceuticals Inc, 1129
AVLNF, Avalon Advanced Materials Inc, 1130
AVLR, Avalara Inc, 1131
AVNS, Avanos Medical Inc, 1132
AVNT, Avient Corp, 1133
AVNW, Aviat Networks Inc, 1134
AVO, Mission Produce Inc, 1135
AVRO, Avrobio Inc, 1137
AVT, Avnet Inc, 1139
AVTR, Avantor Inc, 1140
AVXL, Anavex Life Sciences Corp, 1143
AVY, Avery Dennison Corp, 1144
AVYA, Avaya Holdings Corp, 1145
AWCMY, Alumina Ltd, 1146
AWH, Aspira Womens Health Inc, 1148
AWI, Armstrong World Industries Inc, 1149
