# tag pbvalue tag_id
BSIG 5.399000 1678
BSM 1.966000 1681
BSMX 1.026000 1682
BSN 1.282000 1683
BSPE 0.257600 1685
BSQR 3.839000 1686
BSRR 1.207000 1687
BSVN 1.490000 1690
BSX 3.793000 1691
BSY 44.960000 1692
BTAI 4.444000 1694
BTAQ 1.308000 1695
BTBT 6.078000 1696
BTCM 3.995000 1698
BTDPY 1.508000 1699
BTG 2.034000 1701
BTI 1.053000 1702
BTLCY 0.833100 1703
BTN 2.188000 1704
BTNB 1.355000 1705
BTRS 6.511000 1706
BTU 0.769800 1708
BTVCY 8.776000 1709
BTWN 38890.240000 1710
BUD 2.199000 1713
BUKS 1.245000 1714
BUR 1.528000 1717
BUR.L 1.528000 1718
BURBY 5.682000 1719
BURL 46.480000 1721
BUSE 1.141000 1722
BV 1.419000 1726
BVHBB 2.419000 1730
BVN 1.076000 1733
BVS 7.132000 1735
BWA 1.937000 1741
BWAY 2.970000 1743
BWB 1.757000 1744
BWEN 1.919000 1745
BWFG 1.199000 1746
BWMX 34.160000 1749
BWXT 9.068000 1753
BX 8.279000 1755
BXBLY 4.273000 1756
BXC 4.004000 1757
BXP 3.152000 1759
BXS 1.176000 1761
BY 1.132000 1763
BYD 5.953000 1764
BYDDY 5.283000 1765
BYFC 3.787000 1766
BYND 34.060000 1769
BYRN 40.410000 1770
BYSI 4.692000 1771
BZH 1.173000 1774
BZLFY 4.113000 1775
BZUN 2.984000 1777
BZZUY 1.224000 1778
C 0.893200 1779
CAAP 2.008000 1785
CAAS 0.438900 1786
CABA 2.712000 1787
CABGY 4.063000 1788
CABO 6.785000 1790
CAC 1.329000 1791
CACC 3.149000 1792
CACI 2.380000 1793
CADE 1.315000 1794
CAG 2.206000 1796
CAH 9.089000 1797
CAHC 1.342000 1798
CAI 1.130000 1799
CAI 1.130000 1800
CAJ 1.030000 1801
CAKE 8.624000 1802
CAL 5.221000 1804
CAL.L 5.221000 1805
CALA 1.769000 1806
CALB 1.125000 1807
CALM 1.693000 1809
CALT 5.891000 1810
CALX 8.971000 1811
CAMP 5.267000 1815
CAMT 6.361000 1816
CAN 23.720000 1817
CANF 5.915000 1818
CANG 0.654700 1819
CAP.PA 1.379000 1820
CAP 1.379000 1821
CAPA 1.518000 1822
CAPC.L 37.870000 1823
CAPC 37.870000 1824
CAPR 2.333000 1826
CARA 2.967000 1829
CARE 1.030000 1831
CARG 6.516000 1832
CARR 6.068000 1833
CARR.L 6.068000 1834
CARS 2.924000 1835
CARV 0.970600 1836
CASA 9.181000 1838
CASH.L 2.014000 1839
CASH 2.014000 1840
CASI 2.222000 1841
CASS 2.569000 1842
CASY 4.239000 1843
CAT 7.975000 1844
CATC 1.494000 1846
CATM 4.470000 1848
CATO 1.412000 1849
CATY 1.342000 1850
CB 1.289000 1854
CBAH 1.081000 1855
CBAN 1.230000 1856
CBAT 3.748000 1857
CBAY 2.276000 1858
CBD 0.818700 1862
CBFV 0.884800 1865
CBGPY 1.809000 1867
CBIO 1.298000 1868
CBKM 0.865800 1871
CBLAQ 0.038800 1872
CBLI 8.674000 1873
CBMB 1.032000 1874
CBNK 1.822000 1876
CBOE 3.454000 1877
CBRE 4.066000 1880
CBRL 5.858000 1881
CBSH 2.745000 1882
CBT 4.425000 1884
CBTX 1.317000 1885
CBU 2.210000 1886
CBWTF 1.741000 1888
CBZ 2.433000 1890
CC 6.970000 1891
CCAC 1.401000 1892
CCAP.L 0.909300 1893
CCAP 0.909300 1894
CCB 2.537000 1895
CCBG 1.368000 1897
CCCC 6.112000 1900
CCEP 3.686000 1902
CCF 3.098000 1903
CCGGY 2.315000 1906
CCHGY 4.105000 1908
CCHWF 4.043000 1909
CCI 9.168000 1910
CCIV 2.568000 1911
CCJ 2.101000 1912
CCK 5.826000 1914
CCL 1.803000 1915
CCL.L 1.803000 1916
CCMP 4.739000 1919
CCNC 3.025000 1920
